id,question,answer,related_use_case,related_non_functional
1,How should the customer validate their table before placing an order?,The customer must scan the QR code placed on their table through the application after logging in. This step associates the order with the correct table and active session.,['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
2,What is the maximum allowed time for a customer to cancel an order after submission?,"The cancellation window is set by the establishment, typically 2 minutes after confirmation, to avoid disrupting kitchen operations.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
3,Should menu items display images?,"Yes. Each menu item must show an image, price, and description to enhance customer understanding and meet expectations.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
4,How should the system respond to an invalid QR code scan?,"The app should display an error message indicating the QR code is invalid or expired, and offer options to retry or request staff assistance.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
5,Can unregistered customers place an order?,"No. Customers must be registered and logged in to place orders, ensuring table validation and secure tracking.","['UC01', 'UC04']","['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
6,Should customers receive a confirmation after placing an order?,"Yes. A confirmation message must appear, followed by automatic redirection to the order tracking screen.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
7,What devices should the application support?,"The application must be compatible with smartphones, tablets, and computers, running on Android, iOS, Windows, and MacOS.","['UC01', 'UC02', 'UC03', 'UC04']",['RNF10']
8,Should the app allow partial bill payments?,"In the initial release, only full bill payments are allowed. Partial payment support may be considered in future updates.",['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
9,What payment methods should be supported?,"Initially, the app will support credit card and bank transfer. Additional options like digital wallets may be added later.",['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
10,How should the system handle a failed payment attempt?,The app must display an error message and leave the bill as unpaid until a successful payment is completed.,['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']"
11,Can customers request in-person payment?,Yes. The app must include an option to call a waiter for in-person payment processing.,['UC02'],"['RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF10']"
12,What is the target time to display payment confirmation?,"Payment confirmation should appear within 3 seconds after processing, assuming stable network conditions.",['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF08']"
13,What should happen if a user tries to access menu management without permission?,The app should display an access restriction message and return to the home screen.,['UC03'],"['RNF06', 'RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF07', 'RNF08', 'RNF10']"
14,Can multiple employees edit the menu simultaneously?,"Yes, but the app should manage concurrency and apply the latest confirmed changes to avoid conflicts.",['UC03'],"['RNF03', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF09', 'RNF10']"
15,Should the system keep a history of menu changes?,"Yes. The system should store the date, time, and employee responsible for each change.",['UC03'],"['RNF05', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF06', 'RNF07', 'RNF09', 'RNF10']"
