id,question,answer,related_use_case,related_non_functional,resposta_llm
2,What is the maximum allowed time for a customer to cancel an order after submission?,"The cancellation window is set by the establishment, typically 2 minutes after confirmation, to avoid disrupting kitchen operations.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']","The requirements state that the customer has a “período limite pré-determinado” (predetermined period) to cancel their order. Unfortunately, the PDF doesn’t specify the exact duration of this period. It’s designated as an “essential” use case (UC01) but doesn’t include a numerical limit."
3,Should menu items display images?,"Yes. Each menu item must show an image, price, and description to enhance customer understanding and meet expectations.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']",The requirements state that the menu items must “mostrar imagens dos produtos” (display images of the products). This is a key feature for the “Gerenciar Menu” use case (UC03).
4,How should the system respond to an invalid QR code scan?,"The app should display an error message indicating the QR code is invalid or expired, and offer options to retry or request staff assistance.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']","The requirements don’t explicitly detail the system’s response to an invalid QR code scan. However, the “Pre-condição” (precondition) for the ‘Pay Bill’ use case (UC02) specifies that the customer must have a “mesa validada” (validated table). This suggests that if the scan is invalid, the system should likely prompt the customer to re-validate their table."
5,Can unregistered customers place an order?,"No. Customers must be registered and logged in to place orders, ensuring table validation and secure tracking.","['UC01', 'UC04']","['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']","According to UC01 – “Colocar Pedido” (Place Order), “clientes não registrados podem colocar pedidos”. (unregistered customers can place orders). This indicates that the system doesn’t require customer registration to initiate the ordering process."
6,Should customers receive a confirmation after placing an order?,"Yes. A confirmation message must appear, followed by automatic redirection to the order tracking screen.",['UC01'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']","Yes, the “Pós-condição” (post-condition) for UC01 – “Colocar Pedido” (Place Order) clearly states: “Mensagem de confirmação da realização do pedido”. (Confirmation message of the order made). This confirms that a confirmation message *is* sent to the customer after placing an order."
7,What devices should the application support?,"The application must be compatible with smartphones, tablets, and computers, running on Android, iOS, Windows, and MacOS.","['UC01', 'UC02', 'UC03', 'UC04']",['RNF10'],"The requirements state that the application should be compatible with “múltipla compatibilidade de hardware (mobile, web) e software (sistemas operacionais, ex.: Android, IOS, Windows, MacOS).” (multiple hardware compatibility – mobile, web – and software – operating systems, e.g., Android, IOS, Windows, MacOS). Therefore, the system is designed to support a wide range of devices and operating systems."
8,Should the app allow partial bill payments?,"In the initial release, only full bill payments are allowed. Partial payment support may be considered in future updates.",['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']","The current documentation doesn’t explicitly detail partial bill payments. However, considering the “Pós-condição” (post-condition) for UC02 – “Pagar Conta” (Pay Bill) – which is “Mensagem de confirmação do pagamento”, (confirmation message of the payment), it implies a complete payment is expected. 

To determine if partial payments are supported, I need more information. Could you clarify if there are any specific requirements regarding payment flexibility or if partial payments are a desired feature?"
9,What payment methods should be supported?,"Initially, the app will support credit card and bank transfer. Additional options like digital wallets may be added later.",['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']","The documentation indicates the application supports two primary payment methods: “utilizando a aplicação proposta, realiza o pagamento da conta informando seus dados bancários ou cartão de crédito.” (using the proposed application, the customer makes the bill payment by providing their bank details or credit card). This implies support for both traditional bank transfers and credit/debit card payments."
10,How should the system handle a failed payment attempt?,The app must display an error message and leave the bill as unpaid until a successful payment is completed.,['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10']","According to the “Pós-condição” (post-condition) for UC02 – “Pagar Conta” (Pay Bill) – a key outcome is “Mensagem de confirmação do pagamento.” (confirmation message of the payment). However, the documentation doesn't detail the system’s response to *failed* payment attempts. 

Therefore, a default response would be to display a “Mensagem de confirmação do pagamento” *if* the payment is successful. 

To address a failed payment, we need to implement a system that captures the error and displays an appropriate message to the user. A potential message, based on the available information, would be: “O pagamento não foi concluído. Por favor, tente novamente ou entre em contato com o suporte.” (The payment was not completed. Please try again or contact support).

Do you want me to elaborate on the potential error handling steps or perhaps discuss the types of errors that might occur during a payment attempt?"
11,Can customers request in-person payment?,Yes. The app must include an option to call a waiter for in-person payment processing.,['UC02'],"['RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF10']","Yes, customers can request in-person payment. The documentation outlines a secondary “Fluxo de Eventos” (flow of events) specifically for this scenario.

Here’s a breakdown based on the provided PDF:

*   **Secondary Flow:** “Cliente abre a aplicação na plataforma disponível (smartphone, tablete, notebook.) 2. Devidamente cadastrado e logado, utiliza-se do recurso de validação de mesa via QR Code. 3. Escolhe a opção atendimento presencial para pagamento.” (Customer opens the application on the available platform (smartphone, tablet, notebook). 2. Once registered and logged in, the table validation feature via QR Code is used. 3. Choose the option for in-person service payment).
*   **Key Actions:** This flow involves the customer selecting “atendimento presencial para pagamento.” (in-person service payment) and then “Aguarda disponibilidade e chegada do garçom.” (waits for availability and the arrival of the waiter).
*   **Payment Process:** Following this, “Realiza pagamento.” (Makes payment).

Essentially, the system supports both app-based (bank transfer/credit card) and in-person payment methods.

Do you want me to detail the steps involved in the in-person payment flow, or perhaps discuss any specific considerations for this payment method?"
